Data;PIB - indústria - R$ - Instituto Brasileiro de Geografia e Estatística, Sistema de Contas Nacionais Trimestrais (IBGE/SCN Trimestral) - SCN104_PIBINDV104;
1996 T1;41473,5966108682;
1996 T2;45839,3437034193;
1996 T3;49010,7390467975;
1996 T4;54631,4898480547;
1997 T1;49072,1082355021;
1997 T2;55635,7145503532;
1997 T3;57089,0198565633;
1997 T4;53319,5957181371;
1998 T1;52454,9156794283;
1998 T2;58382,5391057712;
1998 T3;58111,5197204927;
1998 T4;52758,9463005846;
1999 T1;51004,2674684923;
1999 T2;62477,6183856864;
1999 T3;61144,780760769;
1999 T4;61914,5854956828;
2000 T1;62385,53519281;
2000 T2;70463,4474758486;
2000 T3;71089,1369731969;
2000 T4;71932,4201343484;
2001 T1;74964,9209540311;
2001 T2;73981,3168473442;
2001 T3;75781,7022510374;
2001 T4;73152,8863520855;
2002 T1;73584,8019322808;
2002 T2;84312,6286324641;
2002 T3;85894,3014647574;
2002 T4;91115,8415767999;
2003 T1;88505,6919996604;
2003 T2;96082,2559686534;
2003 T3;105419,29196854;
2003 T4;106561,299782944;
2004 T1;102779,25678018;
2004 T2;117825,182725135;
2004 T3;127076,15172998;
2004 T4;128182,621066232;
2005 T1;119602,178510577;
2005 T2;133728,712425079;
2005 T3;135195,538016024;
2005 T4;136159,809349441;
2006 T1;128089,662865052;
2006 T2;139269,824429556;
2006 T3;149671,328905426;
2006 T4;150250,595701377;
2007 T1;141043,79671502;
2007 T2;155431,961695378;
2007 T3;166711,615574424;
2007 T4;165883,778575163;
2008 T1;151285,622554585;
2008 T2;176613,457970831;
2008 T3;204856,147007253;
2008 T4;185151,95093326;
2009 T1;152808,951512432;
2009 T2;173008,90968529;
2009 T3;192927,959776962;
2009 T4;210476,281798406;
2010 T1;192711,383029112;
2010 T2;221147,369943624;
2010 T3;245530,044687107;
2010 T4;244769,202365982;
2011 T1;228636,046399664;
2011 T2;250398,395925121;
2011 T3;263384,925237678;
2011 T4;268614,632652008;
2012 T1;248133,238597018;
2012 T2;263933,731015668;
2012 T3;280234,161325667;
2012 T4;273380,868987971;
2013 T1;259834,77703249;
2013 T2;281661,444798989;
2013 T3;301155,080570339;
2013 T4;288974,697677778;
2014 T1;283275,330822038;
2014 T2;285797,799690005;
2014 T3;315401,687086226;
2014 T4;298619,18281492;
2015 T1;278531,508510425;
2015 T2;283649,55769302;
2015 T3;307137,411513839;
2015 T4;291468,522212118;
2016 T1;262057,403686417;
2016 T2;286363,133380695;
2016 T3;302915,874677841;
2016 T4;299383,588551775;
2017 T1;281823,480265841;
2017 T2;292545,867772599;
2017 T3;311502,508442456;
2017 T4;311928,143735253;
2018 T1;298783,094725694;
2018 T2;319726,086240658;
2018 T3;348466,511889657;
2018 T4;346234,307192186;
2019 T1;311562,896493563;
2019 T2;348504,931842901;
2019 T3;376762,816522112;
2019 T4;348973,355274562;
2020 T1;315271,609367026;
2020 T2;310700,225499758;
2020 T3;355744,891014867;
2020 T4;340174,787532666;
2021 T1;353862,199199339;
2021 T2;410693,902449345;
2021 T3;455358,925229521;
2021 T4;416874,23885104;
2022 T1;410915,740068212;
2022 T2;475596,753036214;
